Name,Feature,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Non-Moving,StandardDeviation,802,DT,97.12,93.86,94.62,94.24,0.10642862319946288,0.4,0.51
Non-Moving,StandardDeviation,802,KNN3,98.13,95.09,97.39,96.2,0.02157139778137207,0.4,0.42
Non-Moving,StandardDeviation,802,KNN7,98.18,94.69,98.01,96.26,0.02150917053222656,0.4,0.42
Non-Moving,StandardDeviation,802,ETC100,97.96,93.85,97.94,95.76,0.3831672668457031,0.4,0.78
Non-Moving,StandardDeviation,802,ETC50,97.96,93.93,97.86,95.77,0.19872212409973145,0.4,0.6
Non-Moving,StandardDeviation,802,ETC25,97.96,93.85,97.94,95.76,0.1072685718536377,0.4,0.51
Non-Moving,StandardDeviation,802,ETC10,98.06,94.34,97.85,95.99,0.05304694175720215,0.4,0.45
Non-Moving,StandardDeviation,802,RFC100,98.03,93.97,98.14,95.91,1.371023178100586,0.4,1.77
Non-Moving,StandardDeviation,802,RFC50,98.03,93.9,98.22,95.91,0.690061092376709,0.4,1.09
Non-Moving,StandardDeviation,802,RFC25,97.98,93.94,97.95,95.82,0.3558542728424072,0.4,0.76
Non-Moving,StandardDeviation,802,RFC10,97.91,94.11,97.45,95.69,0.15102672576904294,0.4,0.55
Phone,Max,802,DT,98.9,98.91,98.9,98.9,0.01012420654296875,0.4,0.41
Phone,Max,802,KNN3,98.62,98.61,98.65,98.62,0.0028183460235595703,0.4,0.4
Phone,Max,802,KNN7,97.52,97.53,97.52,97.52,0.002595186233520508,0.4,0.4
Phone,Max,802,ETC100,100.0,100.0,100.0,100.0,0.10460567474365234,0.4,0.5
Phone,Max,802,ETC50,100.0,100.0,100.0,100.0,0.055020809173583984,0.4,0.46
Phone,Max,802,ETC25,100.0,100.0,100.0,100.0,0.028067588806152344,0.4,0.43
Phone,Max,802,ETC10,100.0,100.0,100.0,100.0,0.01249074935913086,0.4,0.41
Phone,Max,802,RFC100,99.72,99.72,99.73,99.72,0.20643234252929688,0.4,0.61
Phone,Max,802,RFC50,99.72,99.72,99.73,99.72,0.10392284393310547,0.4,0.5
Phone,Max,802,RFC25,99.72,99.72,99.73,99.72,0.053796052932739265,0.4,0.45
Phone,Max,802,RFC10,99.17,99.17,99.18,99.17,0.02262568473815918,0.4,0.42
Phone,Min,802,DT,98.35,98.35,98.35,98.35,0.010008811950683594,0.4,0.41
Phone,Min,802,KNN3,95.87,95.86,95.89,95.87,0.002617120742797852,0.4,0.4
Phone,Min,802,KNN7,94.77,94.76,94.77,94.76,0.0026085376739501953,0.4,0.4
Phone,Min,802,ETC100,100.0,100.0,100.0,100.0,0.10973739624023438,0.4,0.51
Phone,Min,802,ETC50,100.0,100.0,100.0,100.0,0.05618143081665039,0.4,0.46
Phone,Min,802,ETC25,100.0,100.0,100.0,100.0,0.02924299240112305,0.4,0.43
Phone,Min,802,ETC10,100.0,100.0,100.0,100.0,0.013097763061523438,0.4,0.41
Phone,Min,802,RFC100,100.0,100.0,100.0,100.0,0.21319222450256348,0.4,0.61
Phone,Min,802,RFC50,100.0,100.0,100.0,100.0,0.10719013214111328,0.4,0.51
Phone,Min,802,RFC25,100.0,100.0,100.0,100.0,0.05497407913208008,0.4,0.45
Phone,Min,802,RFC10,99.45,99.44,99.46,99.45,0.0231478214263916,0.4,0.42
Phone,Mean,802,DT,97.52,97.52,97.52,97.52,0.013236045837402344,0.4,0.41
Phone,Mean,802,KNN3,96.97,96.98,96.97,96.97,0.002764225006103516,0.4,0.4
Phone,Mean,802,KNN7,98.35,98.36,98.36,98.35,0.0027518272399902344,0.4,0.4
Phone,Mean,802,ETC100,100.0,100.0,100.0,100.0,0.1084275245666504,0.4,0.51
Phone,Mean,802,ETC50,100.0,100.0,100.0,100.0,0.05612635612487793,0.4,0.46
Phone,Mean,802,ETC25,100.0,100.0,100.0,100.0,0.028656721115112305,0.4,0.43
Phone,Mean,802,ETC10,100.0,100.0,100.0,100.0,0.012752532958984377,0.4,0.41
Phone,Mean,802,RFC100,99.17,99.18,99.17,99.17,0.2213308811187744,0.4,0.62
Phone,Mean,802,RFC50,99.45,99.46,99.45,99.45,0.11109328269958496,0.4,0.51
Phone,Mean,802,RFC25,99.45,99.46,99.45,99.45,0.05663228034973145,0.4,0.46
Phone,Mean,802,RFC10,98.9,98.9,98.9,98.9,0.024301528930664062,0.4,0.42
Phone,StandardDeviation,802,DT,82.92,82.95,83.0,82.92,0.01710820198059082,0.4,0.42
Phone,StandardDeviation,802,KNN3,76.86,76.89,76.93,76.86,0.002629995346069336,0.4,0.4
Phone,StandardDeviation,802,KNN7,77.13,77.19,77.31,77.12,0.002606630325317383,0.4,0.4
Phone,StandardDeviation,802,ETC100,93.66,93.67,93.67,93.66,0.1296069622039795,0.4,0.53
Phone,StandardDeviation,802,ETC50,93.66,93.67,93.66,93.66,0.06440520286560059,0.4,0.46
Phone,StandardDeviation,802,ETC25,92.29,92.3,92.3,92.29,0.033025264739990234,0.4,0.43
Phone,StandardDeviation,802,ETC10,90.63,90.6,90.73,90.62,0.015061140060424803,0.4,0.42
Phone,StandardDeviation,802,RFC100,90.63,90.66,90.69,90.63,0.2575118541717529,0.4,0.66
Phone,StandardDeviation,802,RFC50,90.36,90.37,90.36,90.36,0.12835693359375,0.4,0.53
Phone,StandardDeviation,802,RFC25,89.81,89.82,89.82,89.81,0.0652456283569336,0.4,0.47
Phone,StandardDeviation,802,RFC10,86.23,86.2,86.27,86.21,0.027561664581298828,0.4,0.43
Holding Styles,Max,802,DT,100.0,100.0,100.0,100.0,0.057378530502319336,0.4,0.46
Holding Styles,Max,802,KNN3,100.0,100.0,100.0,100.0,0.03773927688598633,0.4,0.44
Holding Styles,Max,802,KNN7,100.0,100.0,100.0,100.0,0.03799152374267578,0.4,0.44
Holding Styles,Max,802,ETC100,100.0,100.0,100.0,100.0,0.3899970054626465,0.4,0.79
