Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Total,401,RFC50,0.91,0.81,0.94,0.86,3.19,0.6,3.79
Total,401,RFC25,0.91,0.81,0.93,0.86,1.61,0.6,2.21
Total,401,RFC10,0.9,0.81,0.92,0.85,0.68,0.6,1.28
Static Dynamic,401,DT,0.82,0.82,0.82,0.82,0.11,0.6,0.71
Static Dynamic,401,KNN3,0.9,0.9,0.91,0.9,0.02,0.6,0.62
Static Dynamic,401,KNN5,0.89,0.89,0.9,0.89,0.02,0.6,0.62
Static Dynamic,401,ETC100,0.96,0.96,0.96,0.96,1.13,0.6,1.73
Static Dynamic,401,ETC50,0.96,0.96,0.96,0.96,0.56,0.6,1.16
Static Dynamic,401,ETC25,0.96,0.96,0.96,0.96,0.28,0.6,0.88
Static Dynamic,401,ETC10,0.95,0.95,0.95,0.95,0.11,0.6,0.71
Static Dynamic,401,RFC100,0.95,0.95,0.95,0.95,4.9,0.6,5.5
Static Dynamic,401,RFC50,0.95,0.95,0.95,0.95,2.44,0.6,3.04
Static Dynamic,401,RFC25,0.95,0.95,0.95,0.95,1.23,0.6,1.83
Static Dynamic,401,RFC10,0.94,0.94,0.94,0.94,0.49,0.6,1.09
Static,401,DT,0.99,0.96,0.99,0.97,0.05,0.6,0.65
Static,401,KNN3,1.0,1.0,1.0,1.0,0.03,0.6,0.63
Static,401,KNN5,1.0,1.0,1.0,1.0,0.03,0.6,0.63
Static,401,ETC100,1.0,1.0,1.0,1.0,0.24,0.6,0.84
Static,401,ETC50,1.0,1.0,1.0,1.0,0.11,0.6,0.71
Static,401,ETC25,1.0,1.0,1.0,1.0,0.05,0.6,0.65
Static,401,ETC10,1.0,1.0,1.0,1.0,0.03,0.6,0.63
Static,401,RFC100,1.0,1.0,1.0,1.0,0.37,0.6,0.97
Static,401,RFC50,1.0,1.0,1.0,1.0,0.19,0.6,0.79
Static,401,RFC25,1.0,1.0,1.0,1.0,0.1,0.6,0.7
