Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,LiAx,LiAy,LiAz,P,Value,Type,GroupType
21.52,7.3015365999999995,-5.931832,5.188606,-0.29234803,0.99594873,0.10710183,-16.255245000000002,33.68993,-29.218528999999997,-0.19552946,-0.014787197,-0.9419209999999999,990.0009,1,1.0,1
21.56,6.598925599999999,-5.0428695999999995,2.1491203,0.029494503999999998,1.5187268,0.17088439,-13.709872,33.440357,-30.981872999999997,0.7885293999999999,-0.9168668,3.1973564999999997,989.9657,1,1.0,1
21.6,6.412533799999999,-6.158244,3.855875,0.37916705,1.5620033000000002,0.27341592,-11.9303665,33.684612,-31.655303999999997,0.35924959999999995,0.2914915,0.51138186,990.0086699999999,1,1.0,1
21.64,5.9250145,-4.5256996,1.9810523999999998,-0.17663439,1.0414889,0.37541485,-9.763621,34.08067,-32.243317,0.54788256,-1.8702145000000001,1.7309933000000002,989.9884599999999,1,1.0,1
21.68,5.473343,-3.9155807,3.6002207000000004,-0.21724775,1.0099306000000001,0.7071111999999999,-7.583317,34.384068,-32.828003,0.7842264,-2.473823,0.9153075,990.00104,1,1.0,1
21.72,5.5665693,-3.5390230000000003,4.454782499999999,-0.41405538,0.84841,0.5820758,-5.9655843,34.89774,-32.64544,0.94461346,-2.8398876,-0.069253445,989.9633,1,1.0,1
21.76,6.235761599999999,-5.202552,4.575512000000001,-0.021505963,0.44147933,0.12361291,-6.215103,35.085087,-31.925095000000002,-0.09496641,-0.97453165,0.13139820000000002,989.9757699999999,1,1.0,1
21.8,6.53691,-6.1201143,4.1896596,-0.3103257,-0.17717245,0.12068334,-5.772347,35.868153,-31.577232000000002,-0.8266249,-0.055102825,-0.53964806,989.95795,1,1.0,1
21.84,6.845227700000001,-5.903237,2.9374113,-0.6516098000000001,-0.46785617,0.13746116,-6.002899,36.231106,-30.56215,-0.78522587,-0.09710312,0.7271893,989.9301,1,1.0,1
21.88,6.2238736,-7.118709599999999,-0.16598903,-0.30167085,0.20232776,0.0405221,-5.5867205,36.8312,-30.122505,0.74046373,1.1334572,7.1692276,989.9403699999999,1,1.0,1
21.92,6.0135819999999995,-6.1844645,9.144219999999999,-0.19487839999999998,0.6330938,-0.13711068,-5.879283,37.031208,-29.85817,-1.1676512,0.19825983,-5.644954,989.9808,1,1.0,1
21.96,7.258741400000001,-7.721679700000001,3.709125,-0.9671947,-1.3331164,-0.009678618,-6.9850216,38.365417,-28.30315,-0.58978176,-0.26610518,0.95096326,989.9882,1,1.0,1
22.0,6.460203599999999,-6.1892242,1.315855,0.4055304,-1.2477621,0.03186658,-8.357503999999999,38.29211,-28.54927,0.19990396,-0.73083067,1.9464352999999999,989.9304,1,1.0,1
22.04,7.322627499999999,-7.9004087,3.6096440000000003,0.22683221,-1.1890395,0.13333285,-9.626071000000001,37.47311,-28.536820000000002,-0.95278025,1.106689,-1.0768554,989.9836,1,1.0,1
22.08,6.7155857,-7.299823299999999,2.506527,0.077833906,-1.2830498,0.19512045,-10.404273,37.428940000000004,-27.952412,0.255579,0.59129286,-0.09390879,989.9554,1,1.0,1
22.12,6.431182,-8.596327,1.7821624,-0.308989,-1.1886411,0.036263414,-12.580096000000001,38.65661,-26.149273,0.60364723,1.9145627,0.212569,989.9758,1,1.0,1
